指令,技能名,典故,备注
→3,Sumatra Back Knuckle,"苏门答腊是印度尼西亚的著名咖啡产区，以生产 曼特宁咖啡（Mandheling） 闻名。
这招的日语是曼特宁反手拳",自动进LD
→3，2,Sumatra Back Knuckle,,1段命中开始连招
→3，4,Sumatra Patadas,,
f4,"Tifón Patear
ティホンパテアル","Tifón（西语）：
西班牙语中意为“台风”，象征强大的自然力量，常用来形容破坏性或不可阻挡的冲击力。

Patear（西语）：
意为“踢”或“猛踢”，直接指向格斗中的踢技动作。

组合含义：
“Tifón Patear” 可直译为 “台风踢”",
"f4,4","Tifón Patear
ティホンパテアル",,1段命中开始连招
"f4,4，b","Tifón Patear
ティホンパテアル",,命中对手也吃确反
"f4,【42】","Tifón Trueno
ティホントレノ","Tifón（西语）：
西班牙语中意为“台风”，象征强大的自然力量，常用来形容破坏性或不可阻挡的冲击力。

Trueno（西语）：
意为“雷声”或“雷鸣”，进一步强化招式的威力与震撼感。

组合含义：
“Tifón Trueno” 可直译为 “台风雷鸣”，强调招式的范围性、冲击力与不可阻挡的气势，同时加入“雷电”元素，提升视觉与听觉的震撼效果",
"f4,【43】","Tifón Ca?ón
ティフォンカノン","Tifón（西语）：
西班牙语中意为“台风”，象征强大的自然力量，常用来形容破坏性或不可阻挡的冲击力。

Ca?ón（西语）：
意为“加农炮”或“峡谷”，在此语境下更可能指“炮击”，强调招式的爆发力与直线冲击感。

组合含义：
“Tifón Ca?ón” 可直译为 “台风加农炮”，强调招式的直线冲击、范围性与不可阻挡的气势",
f1+2,"Aero Press Pegar
エアロプレスペガル","エアロプレス（Aero Press）：
日语片假名音译自英语“AeroPress”，爱乐压（AeroPress）是由美国AEROBIE公司于2005年正式发布，以其易用，高效，出品咖啡的美味等优点一上市并引起强烈反响。该全新的咖啡制作器具是斯坦福大学机械工程讲师Alan Adler发明.

ペガル（Pegar）：
西班牙语中意为“抓住”“粘住”或“击打”，在此语境下可能指“强力抓取”或“猛击”。

组合含义：
“Aero Press Pegar” 可理解为 “AeroPress抓取” 或 “AeroPress猛击”。 ",
,↘,,
df1,"Grande Combo
グランデコンボ","グランデ（Grande）：
西班牙语中意为“大的”或“重要的”，常见于咖啡行业（如星巴克杯型“中杯”即称“Grande”），暗示招式的规模或强度。

コンボ（Combo）：
源自英语“combination”，指连续技或组合攻击，强调招式的连贯性与多段性。

组合含义：
“Grande Combo” 可直译为 “大型连击” 或 “强力组合技”，既体现攻击的规模感，也暗含咖啡文化的隐喻。",
"df1,4",,,
"df1,4,B",,,被防进构吃确反
"df1,4,1",,,
"df1,4,1,f",,,被猜中吃大确反
"df1,4,【12】","Full Body Grande Combo
グランデコンボ?フルボディ","グランデコンボ（Grande Combo）：

Grande（西语/英语）：意为“大的”“重要的”，在咖啡文化中常指饮品规格（如星巴克中杯）。

Combo（英语）：指连续技或组合攻击，强调多段性与连贯性。

フルボディ（Full Body）：

英语直译为“全身”，但在咖啡术语中形容“口感饱满”的咖啡，强调风味浓郁、层次丰富。

组合含义：
“Grande Combo Full Body” 可理解为 “饱满口感的大型连击”，双关咖啡的醇厚与招式的全身性攻击。",与进构组合起来，让对手不敢在第二下之后用太慢的招式。
df2,"Mount Rainier
マウントレーニア",Mount Rainier（雷尼尔山）：日本森永乳业（Morinaga Milk）于1993年推出了一款冷藏即饮咖啡饮料“Mt. RAINIER CAFFè LATTE”，其命名灵感直接来源于美国华盛顿州的雷尼尔山。该产品旨在将西雅图的手持咖啡文化引入日本，倡导“随时随地享用咖啡”的理念。森永乳业在设计该产品时，参考了西雅图的咖啡文化，尤其是咖啡馆与城市生活的结合方式（如外带咖啡习惯）。这种文化对比在品牌宣传中多次被提及。雷尼尔山被日本早期移民称为“塔科马富士”（Tacoma Fuji），因其与富士山相似的壮丽景观，成为日美文化联结的象征,
df3,"Rodilla Shot

ロディーリャショット","ロディーリャ（Rodilla）：
西班牙语中意为“膝盖”，直接指向格斗中的膝击动作。

ショット（Shot）：
英语中意为“射击”或“击打”，在此语境下指“强力攻击”。

组合含义：
“Rodilla Shot” 可直译为 “膝击射击” 或 “强力膝击”，强调招式的力量感与精准性",
df4,ブルーマウンテンコンボ,"ブルーマウンテン（Blue Mountain）：
英语直译为“蓝山”，指牙买加的蓝山咖啡（Blue Mountain Coffee），被誉为世界上最优质的咖啡之一，象征高品质与独特性。

コンボ（Combo）：
源自英语“combination”，指连续技或组合攻击，强调招式的连贯性与多段性。

组合含义：
“Blue Mountain Combo” 可理解为 “蓝山连击”，既体现招式的优雅与力量，也暗含咖啡文化的隐喻。",
"df4,1",ブルーマウンテンコンボ,,
,↓,,
,"Hand Drip HAMMER
ハンドドリップハンマー","ハンドドリップ（Hand Drip）：
英语直译为“手冲”，指手工冲泡咖啡的方法，强调精致与专注。

ハンマー（Hammer）：
英语中意为“锤子”，在此语境下指“强力锤击”或“重击”。

组合含义：
“Hand Drip Hammer” 可理解为 “手冲锤击”，将咖啡冲泡的精致感与锤击的力量感结合，形成独特的反差美学。",进蹲姿
d2,"La Ni?a Kick Combo 
ラニーニャキックコンボ","圣女踢
拉尼娜直译小女孩，是和厄尔尼诺现象一样反过来的气候现象。台湾译作反圣婴现象",
d2，3,"La Ni?a Kick Combo 
ラニーニャキックコンボ",,"被防+1进构
记得蹲第二下"
d3,"Passionate Kick Combo
パッショネイトキックコンボ
",,
"d3,3","Passionate Kick Combo
パッショネイトキックコンボ
",,
"d3,3,4","Passionate Kick Combo
パッショネイトキックコンボ
",,
d4,Roast Knuckle Combo,"Full City Roast：
咖啡烘焙术语，指“深城市烘焙”，介于中烘焙与深烘焙之间，咖啡豆表面呈深褐色，风味浓郁且带有轻微油脂。

Knuckle：
英语中意为“指关节”，在此语境下指“拳击” 


",
d4，1,Roast Knuckle Combo,,
d4，1，f,Roast Knuckle Combo,,
d4，【12】,Full City Roast Knuckle Combo,,
,↙,,
db1,Crouch Jab,,进蹲姿
db2,Crouch Straight,,进蹲姿
db3,Borrasca Kick Combo,"Borrasca：
西班牙语中意为“风暴”或“暴风雨”，象征强大的自然力量与不可阻挡的气势。

Kick：
英语中意为“踢击”，直接指向格斗中的踢技动作。

Combo：
源自英语“combination”，指连续技或组合攻击。

组合含义：
“Borrasca Kick Combo” 可理解为 “风暴踢击连击”，强调招式的范围性、冲击力与连贯性。",进背构
"db3,4",Borrasca Kick Combo,,
db4,Bitter Low Kick,,
db1+2,Kilimanjaro Uppercut,乞力马扎罗咖啡（Kilimanjaro Coffee）产于坦桑尼亚东北部的非洲最高山脉乞力马扎罗山,
db3+4,El Cóndor Pasa,"El Cóndor Pasa是一首以秘鲁民谣为曲，西班牙语作词的歌曲。纪念图帕克?阿玛鲁二世的反抗。
是一首反抗西班牙殖民者的南美秘鲁民歌。
图帕克?阿玛鲁二世最后是在库斯科大广场上被杀害",
,←,,
b1,Double Blend Tempestad,"ダブルブレンド（Double Blend）：
英语直译为“双重混合”，在咖啡术语中指将两种不同咖啡豆混合 

テンペスタ（Tempesta）：
意大利语中意为“风暴”，象征强大的自然力量与不可阻挡的气势。

组合含义：
“Double Blend Tempesta” 可理解为 “双重混合风暴” ",
"b1,1",,,进LD
"b1,1,2",,,
"b1,1,2,b",,,
"b1,1,2,f",,,消耗热力槽进LD
b2,Mil Nudillo,"Mil：
西班牙语中意为“千”，象征数量多、规模大或强度高。

Nudillo：
西班牙语中意为“指关节”，在此语境下指“拳击”或“关节技”。

组合含义：
“Mil Nudillo” 可直译为 “千关节” 
意义不明",
"b2,f","Mil Nudillo
-NL",,消耗热力槽进LD
b3,Tacón Plunger,"Tacón：
西班牙语中意为“鞋跟”或“高跟鞋”，直接指向格斗中用脚跟发动的攻击（如下劈或踩踏）。

Plunger：
英语中意为“活塞”或“压杆”，在咖啡文化中特指法压壶（French Press）的下压装置，象征向下施压的动作。

组合含义：
“Tacón Plunger” 可直译为 “鞋跟活塞”，描述了azucena用脚后跟下砸对手的动作。",
b4,"Seattle Skipper
シアトルスキッパー","シアトル（Seattle）：
美国华盛顿州的城市，以其咖啡文化（星巴克发源地）和港口航运闻名，象征现代性与国际化。

スキッパー（Skipper）：
 意为 “跳跃者”，在此语境下 指 “跳跃攻击”。

组合含义：
“Seattle Skipper” 可理解为 “西雅图跳跃者” 。",
"b4,3",,,
"b4,3,4",,,
"b4,3,4,3",,,
,↗,,
"uf1 or u1
LD:uf1",Eye Opener,,
"uf2 or u2
LD:uf2",Rhythmic Hook,"リズミック（Rhythmic）：
英语中意为“有节奏的”，象征流畅性、韵律感与协调性。

フック（Hook）：
英语中意为“钩子”或“勾拳”，是拳击与格斗中的经典技巧，强调弧线攻击与精准打击。

组合含义：
“Rhythmic Hook” 可直译为 “有节奏的勾拳”，将韵律感与勾拳的力量感结合，形成独特的文化隐喻。",
uf3,Daylight Disk,"Daylight Disk:日间圆盘,是指日间出现在空中的盘状金属物体，它们有时出现在高空，有时接近地面，并常静止在空中，常常是以极快的速度消失。 
也就是不明飞行物，是Azucena身上的外星人元素。",进蹲姿
uf3，4,,,
bu4 or u4,Tacones Drip,"Tacones：
西班牙语中意为“高跟鞋”，象征优雅、力量与女性气质。

Drip：
英语中意为“滴落”或“滴滤”，在咖啡文化中指手冲咖啡的滴滤过程，象征精致与专注。

组合含义：
“Tacones Drip” 可直译为 “高跟鞋滴滤”，将高跟鞋的攻击性与咖啡滴滤的细腻感结合，形成独特的文化隐喻。",
uf4,,,
uf☆4,,,
,多指令,,
ff3,Luna Llena,"ルーナ（Luna）：
西班牙语中意为“月亮”，象征神秘、优雅与自然力量。

リエナ（Llena）：
西班牙语中意为“满的”，在此语境下指“满月”（Luna Llena）。

组合含义：
“Luna Llena” 可直译为 “满月”",
ff4,"Demitasse Molino
デミタスモリーノ","デミタス（Demitasse）：
法语中意为“半杯”，在咖啡文化中指小型咖啡杯（约60-90毫升），常用于盛装浓缩咖啡，象征精致与浓郁。

モリーノ（Molino）：
西班牙语中意为“磨坊”或“研磨机”，直接指向咖啡豆的研磨过程，象征力量与精细。

组合含义：
“Demitasse Molino” 可理解为 “浓缩杯研磨机”，",
ff3+4,"Ortiz Molino

オルティスモリーノ","オルティス（Ortiz）：
Azucena的家族姓氏，象征其身份认同与家族荣誉。

モリーノ（Molino）：
西班牙语中意为“磨坊”或“研磨机”，直接指向咖啡豆的研磨过程，象征力量与精细。

组合含义：
“Ortiz Molino” 可理解为 “奥尔蒂斯磨坊”",自动进LD
"ff3+4,B",,,
fff3,,"エスプレッソ（Espresso）：
意大利语中意为“浓缩咖啡”，象征高强度、快速与浓郁的力量。

アグレシオン（Agresión）：
西班牙语中意为“侵略”或“攻击”，直接指向招式的攻击性与压迫感。

组合含义：
“Espresso Agresión” 可直译为 “浓缩咖啡侵略”，",
"fff3,2","Espresso Agresión
エスプレッソアグレシオン",,jailing
"bu,b",Volterador,,
"bu,b,f",,,进LD
"1+3+4
BT：1+3+4",Taunt,,
"1+3+4（按）
BT：1+3+4（按）",Shuffle Recital,,
"2+3+4
BT:2+3+4",Coffee Break,,
"HEAT:
2+3+4
BT:2+3+4","Coffee Break
(HEAT)",,
"1+2+3+4
BT:1+2+3+4",Ki Charge,,
1+2+3+4  1+2,Black Ivory Talon,黑色象牙咖啡，又名象粪咖啡、象屎豆。是用泰国象消化并排泄出的咖啡豆磨制的咖啡，生产于金三角亚洲象基地。,
,蹲姿,,
WS1,Golden Mountain Fist,秘鲁的安第斯山脉是南美洲的脊梁，其高海拔和丰富的矿产资源（尤其是黄金）使其成为秘鲁自然与文化的核心象征。,
WS2,Rainbow Mountain Swing,"Rainbow Mountain（レインボーマウンテン）：
直译为“彩虹山”，指秘鲁安第斯山脉的著名景点Vinicunca（彩虹山），以其七色岩层闻名，象征自然奇观与多元能量。彩虹山是秘鲁安第斯山脉的标志性景观，其七色岩层由矿物沉积形成，象征秘鲁的自然多样性",
WS3,Viento Fuerte,"ヴィエント（Viento）：
西班牙语中意为“风”，

フエルテ（Fuerte）：
西班牙语中意为“强力的”或“坚固的”，强调力量与强度。

组合含义：
“Viento Fuerte” 可直译为 “强风”，将风的迅捷与力量的强度结合",进LD
WS4 ,Combo de Cantuta," 
坎涂花, 秘鲁国花 Cantuta（坎涂花，学名Cantua buxifolia），在安第斯文化中被称为“印加圣花”，象征神圣、生命与友谊。坎涂花在印加文明中被用于祭祀仪式，代表与神明的沟通.",
"WS4,1 ",,,
"WS4,1,3",,,
"WS4,1,3,b",,,
FC3,Cosecha Látigo,"Cosecha：
西班牙语中意为“收获”或“收割”，象征农业劳作中的丰收与辛勤。

Látigo：
西班牙语中意为“鞭子”，在此语境下可能指“鞭击”或“快速抽打”。

组合含义：
“Cosecha Látigo” 可直译为 “收获之鞭”",进蹲姿
FCdf4,etching blade," 蚀刻是指一种拿铁艺术技术，在倒入浓缩咖啡后，在牛奶泡沫的表面上创作设计。它涉及使用牙签或薄器具等工具在泡沫牛奶中绘制图案或图片，通常借助可可粉或巧克力糖浆来增加细节。蚀刻被认为是一种更简单的拿铁艺术技巧，因为它不需要掌握牛奶倾倒技巧。",打中进 LB  
,背构招式,,
b3+4,Shuffle Carnival,"shuffle:洗牌、打乱
carnival: 嘉年华",进背构
BT:1,Mocha Attaque Matar,"Mocha（モカ）：
英语中意为“摩卡”，既指一种咖啡豆（也门摩卡），也指一种混合巧克力与咖啡的饮品，象征浓郁与独特风味。

Attaque（アタック）：
法语中意为“攻击”，直接指向招式的攻击性与力量感。

Matari（マタリ）：
指Matari（马塔里，摩卡咖啡的产地之一，也门摩卡港） 。

组合含义：
“Mocha Attaque Matari” 可理解为 “摩卡攻击·马塔里” ",
"BT:1,2",Mocha Attaque Matar,,
"BT:1,2,f",,,
"BT:1,4",Mocha Attaque Sidamo,西达摩(Sidamo)位于东非大裂谷阿瓦萨湖以南肥沃的高原，雨水充足，气候适宜，海拔高达1500-2200米，是咖啡种植的完美之地。产出高品质的咖啡豆。,
BT:2,Qhapaq ?an,"Qhapaq：
克丘亚语（Quechua）中意为“伟大的”“高贵的”或“强大的”，象征神圣与权威。

?an：
克丘亚语中意为“道路”或“路径”，在此语境下可能指“方向”或“轨迹”。

组合含义：
“Qhapaq ?an” 可直译为 “伟大的道路”，指印加帝国的道路系统（印加古道）
印加古道是印加帝国在1438－1532年期间沿着安第斯山脉修建的山路，以库斯科城边的萨克萨瓦曼圆形古堡为起点，全长二、三千公里，是当时统治者传达政令、印加人生产生活和进行贸易的交通动脉，其中大部分古道存在于秘鲁境内。",
"BT:2
命中时：2",Qhapaq ?an,,
BT:3,Calf Reaper,,
BT:4,Upbeat Patadas,"Upbeat：
英语中意为“乐观的”“活泼的”或“上升的”，象征积极、活力与节奏感。

Patadas：
西班牙语中意为“踢击”或“踢腿”，直接指向格斗中的踢技动作。

组合含义：
“Upbeat Patadas” 可直译为 “活泼踢击” 或 “上升踢击”",
"BT:4,3",,,
BT:1+2,Golpe Affogato,"Golpe：
西班牙语中意为“击打”或“攻击”，直接指向格斗中的打击动作。

Affogato：
意大利语中意为“淹没”或“浸泡”，在咖啡文化中指一种甜点（Affogato），即香草冰淇淋浇上浓缩咖啡，象征冷热交融与浓郁口感。

组合含义：
“Golpe Affogato” 可直译为  “阿芙佳朵击打”",
BT:3+4,Foo Fighter,"フー?ファイター（Foo Fighter）：
英语中意为“不明飞行物”（UFO）或“神秘飞行器”，源自二战期间飞行员对不明飞行物的称呼
1）秘鲁的UFO传说
纳斯卡线条与外星假说：
秘鲁南部的纳斯卡线条被认为是古代文明与外星人交流的证据，招式名称可能致敬这一文化符号，表现为神秘光轮或光束攻击。

安第斯山脉的UFO目击事件：
秘鲁安第斯山区是UFO目击事件的热点地区",
b1+2,Runaway,,
,解放者构,,
LD:1,Blend Tempestad,"Blend：
英语中意为“混合”或“调配”，在咖啡文化中指将不同咖啡豆混合以创造独特风味，象征多样性与平衡。

Tempestad：
西班牙语中意为“风暴”，象征强大的自然力量与不可阻挡的气势。

组合含义：
“Blend Tempestad” 可直译为 “混合风暴”",
,Blend Tempestad,,
"LD &HEAT:
1,2,F",Blend Tempestad,,
1，2，b,Blend Tempestad——BT,,
2,Golpe Cappuccino,卡布奇诺（意大利语：Cappuccino）是原产意大利的一种带泡沫的咖啡。 ,
2,,,
2,,,
3,Acerbic Low Kick-BT,,
"3,1",Blend Reganar,,
4,Blend Asaltar-LD,,
"4,1",Blend Asaltar,,
"4,1，2",Blend Asaltar,,
"4,2",BLEND Martillo,,
1+2,Rana Barista,"Rana：
西班牙语中意为“青蛙”，象征敏捷、灵活与自然生命力。

Barista：
意大利语中意为“咖啡师”，指专业制作咖啡的人，象征技艺精湛与专注。

组合含义：
“Rana Barista” 可直译为 “青蛙咖啡师”意义不明",
1+2，b,Rana Barista,,
3+4,El Ni?o,"圣婴踢
厄尔尼诺：直译是男孩
有时译作圣婴
厄尔尼诺现象为“东太平洋升温阶段”，周期可持续二到七年（通常接近四年），此期西太平洋的气压较高、东太平洋的气压较低，降雨多发生在9至11月期间
这一名称出现在几个世纪前，因为南美太平洋的变暖时期通常都在圣诞节附近，当时秘鲁渔民联想到耶稣基督，所以以“新生的耶稣（即圣婴）”命名了此气候现象",
d3,pedalad tron,,
d4,Blend Cortar,"Blend：
英语中意为“混合”或“调配”，在咖啡文化中指将不同咖啡豆混合以创造独特风味，象征多样性与平衡。

Cortar：
西班牙语中意为“切割”或“切断”，直接指向格斗中的切割动作或强力攻击。

组合含义：
“Blend Cortar” 可直译为 “混合切割”",
d4，4,Blend Cortar,,
"HEAT:
D3+4",One Drip Cielo,"One Drip：
英语中意为“一滴”，在咖啡文化中指手冲咖啡的滴滤过程 

Cielo：
西班牙语中意为“天空” 

组合含义：
“One Drip Cielo” 可直译为 “一滴天空”",
LD:FF,Libertador [Varios] to LD,,
LD:BB,Caer Back Funnel ,,
LD:BB1,Caer Back Funnel  to eye opener,,
LD:F(压）,Azucena Admission,,
LD:D or U(压）,Milagros Show,,
LD:B(压）,Salida Castillo,,
1+3,Amaru Head Squeeze,Amaru：阿马鲁是安第斯地区的神话生物。类似大蛇，形象很多。常用作人名。,
2+4,El Dorado Neck Snap,El Dorado是南美洲殖民时期传说中的神秘黄金之城，象征财富与神秘力量。,
在左侧投,Urubamba Neck Lock,乌鲁班巴(Urubamba)是库斯科到马丘比丘途中的一个大镇。这一带在印加时期是王家的直辖区，是库斯科的谷仓地带，被称为“圣谷”。,
在右侧投,Giratorio Sleeper Throw,"Giratorio：
西班牙语中意为“旋转的”或“回旋的” 

Sleeper：
英语中意为“睡眠者”或“沉睡者”，在此语境下可能指“锁技”或“压制技”。

Throw：
英语中意为“投掷”或“摔技” 
组合含义：
“Giratorio Sleeper Throw” 可直译为 “旋转沉睡投掷” ",
在后方投,Caffeine Abduction,,
uf1+2,Inti Raymi Necklace,"Inti Raymi 是印加帝国的传统宗教仪式，旨在纪念印加宗教中最受尊敬的神 Inti。这是庆祝冬至——一年中日出和日落之间时间最短的一天——以及印加新年，届时光照时间将再次开始延长。 
2025年的太阳节在6月24日",
d1+2,UFO Roll to LD,,
FC1+2,Ultimate Tackle,,
"takedown:
1212 or 2121",Ultimate Punch,,
"takedown:
1+2",Arm Breaker,,
"d1+3 or d2+4
(LD也能用）",Smell the Coffee ,,
,reverse,,
"uf1（大开眼界）
(LD也能用）",Close Encounter,,
b1+2,runaway,,
LD格挡上段,Crema Petalo to LD,"Crema：
西班牙语中意为“奶油”，在咖啡文化中指浓缩咖啡上层的金黄色泡沫。

Petalo：
西班牙语中意为“花瓣” 。

组合含义：
“Crema Petalo” 可直译为 “奶油花瓣”咖啡拉花的联想：咖啡师常在Crema上绘制花瓣图案。",
LD格挡下段,Flush Valve Gracia to LD,"Flush Valve：
英语中意为“冲洗阀” 

Gracia：
西班牙语中意为“优雅”
